pval,avg,cilo,cihi,studylo
0,-0.53,-0.81,-0.26,NA
0,-0.54,-0.82,-0.25,1
0,-0.52,-0.81,-0.23,2
0,-0.6,-0.87,-0.34,3
0,-0.51,-0.79,-0.23,4
0,-0.5,-0.78,-0.23,5
0,-0.53,-0.81,-0.24,6
0,-0.58,-0.85,-0.3,7
0,-0.53,-0.81,-0.24,8
0,-0.55,-0.83,-0.26,9
0,-0.55,-0.83,-0.27,10
0,-0.54,-0.83,-0.26,12
0,-0.52,-0.8,-0.23,13
0,-0.5,-0.78,-0.22,14
0,-0.52,-0.8,-0.23,15
0,-0.49,-0.77,-0.22,16
0,-0.53,-0.82,-0.25,17
0,-0.58,-0.85,-0.31,18
0,-0.54,-0.82,-0.26,19
0,-0.48,-0.75,-0.22,20
0,-0.56,-0.84,-0.27,21
0,-0.56,-0.84,-0.27,23
0,-0.5,-0.78,-0.23,24
0,-0.55,-0.83,-0.27,26
